glad	0.0 → 0.334
like	85.124 → 85.776
to	85.776 → 86.428
to	86.428 → 87.08
to	87.08 → 87.517
and	87.517 → 87.954
to	87.954 → 88.391
up	88.391 → 88.828
and	88.828 → 89.265
up	89.265 → 89.702
to	89.702 → 90.139
would	90.138 → 90.575
like	90.575 → 91.012
to	91.012 → 91.449
would	91.449 → 91.886
to	91.886 → 92.323
royalties	92.323 → 92.76
we	92.76 → 93.197
up	93.197 → 93.634
royalties	93.634 → 94.071
to	94.071 → 94.508
current	94.508 → 94.945
royalties	94.945 → 95.382
would	95.382 → 95.819
like	95.818 → 96.255
to	96.255 → 96.692
current	96.692 → 97.129
royalties	97.129 → 97.566
to	97.566 → 98.003
current	98.003 → 98.44
royalties	98.44 → 98.877
and	98.877 → 99.314
would	99.314 → 99.751
if	99.751 → 100.188
we	100.188 → 100.625
and	100.625 → 101.062
maintain	101.062 → 101.499
if	101.498 → 101.935
if	101.935 → 102.372
would	102.372 → 102.809
like	102.809 → 103.246
to	103.246 → 103.683
to	103.683 → 104.12
to	104.12 → 104.377
are	104.377 → 104.634
and	104.633 → 104.89
to	104.89 → 105.147
and	105.147 → 105.404
it	105.404 → 105.661
to	105.66 → 105.917
i	105.917 → 106.174
would	106.174 → 106.431
to	106.431 → 106.688
would	106.687 → 106.944
to	106.944 → 107.201
as	107.201 → 107.458
as	107.458 → 107.715
i	107.714 → 107.971
every	107.971 → 108.228
two	108.228 → 108.485
weeks	108.485 → 108.742
are	108.741 → 108.998
to	108.998 → 109.255
are	109.255 → 109.512
i	109.512 → 109.769
would	109.768 → 110.025
to	110.025 → 110.282
are	110.282 → 110.539
all	110.539 → 110.796
stores	110.795 → 111.052
are	111.052 → 111.309
required	111.309 → 111.566
to	111.566 → 111.823
every	111.822 → 112.079
two	112.079 → 112.336
weeks	112.336 → 112.593
and	112.593 → 112.85
i	112.849 → 113.106
would	113.106 → 113.363
appreciate	113.363 → 113.62
it	113.62 → 113.877
and	113.876 → 114.133
maintain	114.133 → 114.39
would	114.39 → 114.647
to	114.647 → 114.904
to	114.903 → 115.16
for	115.16 → 115.464
you	115.464 → 115.768
for	115.769 → 116.073
let	116.073 → 116.377
me	116.377 → 116.681
know	116.682 → 116.986
works	116.986 → 117.29
for	117.29 → 117.594
you	117.595 → 117.899
you	117.899 → 118.203
you	118.203 → 118.507
if	118.508 → 118.812
this	118.812 → 119.116
let	119.117 → 119.421
me	119.421 → 119.725
know	119.725 → 120.029
if	120.03 → 120.334
this	120.334 → 120.638
works	120.638 → 120.942
for	120.943 → 121.247
you	121.247 → 121.551
if	121.551 → 121.855
you	121.856 → 122.16
